,geo,text,user,location
179,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,fmhanbyule,Addis Ababa
180,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",IndoEthio,Ethiopia
181,,How moronic: There is no law that prohibits #Ethiopia from building a dam that doesn't harm others! The #GERD is sa… ,Zfalcon,"Inglewood, CA"
182,," Happening this Thursday, Part 1 of 2 sessions on GERD put together by APSA's Education Committee. We want to know how you…",sminaev2015,
183,, I welcome ’s high level delegation as a demonstration of the long standing strong ties between our two coun…,issaabuona,
184,, Leader of  sat down with ETV Foreign Languages to discuss current issues including developments surrounding the Grand…,nubianomad,
185,, The Ambassadors called on the need to solve African problems through Africans highlighting that countries in Africa or the…,iEthiopia,Planet Earth
186,," Briefings covered national, regional &amp; continental level values that can be gained in building #GERD &amp; stressed #Ethiopia’…",iEthiopia,Planet Earth
187,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",iEthiopia,Planet Earth
188,," Briefings covered national, regional &amp; continental level values that can be gained in building #GERD &amp; stressed #Ethiopia’…",HenokTeferra_S,"Paris, France "
189,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,SEYOUMAGEX,
190,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,Liitleb,Addis Ababa
191,,The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 D… ,EmebetGAbate,🇪🇹🌍
192,,"#GERD affects the digestive system, forcing stomach acid to irritate the food pipe.  ",BatashSteven,"Queens, NY"
193,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",AmbayeEJF,UK
194,, #Egypt|s misguided colonial rigidity and bravado is only fomenting public animosity in #Ethiopia. Harmful to Egypt's own long-…,Habeshlove,Africa
195,,The Crocodile Tears of Egypt and The Grand Ethiopian Renaissance Dam (GERD). Read more.  #Ethiopia #Egypt #GERD #Nile,zborkena,"Toronto,Canada"
196,," Encouraging innovations is good move, it would be even best if it is geared towards certain priority… ",Tegb,Addis Ababa
197,, #EU backs strategic importance of #GERD to #Ethiopia  ,Habeshlove,Africa
198,," The Secretary-General underscores the importance of the 2015 #DoP on the #GERD, which emphasizes #cooperation based on commo…",abay_river,#GERD #ህዳሴግድብ 🇪🇹 🚰
199,,UN secretary general underscores the importance DoP on #GERD. ,alemange2010,Ethiopia
200,, #Egypt|s misguided colonial rigidity and bravado is only fomenting public animosity in #Ethiopia. Harmful to Egypt's own long-…,wudnehasrat,"Addis Ababa, Ethiopia"
201,," #Ethiopia does not have legal obligation to seek approval of #Egypt and #Sudan ""Addis Standard newspaper"" #GERD http…",QeerrooPower,
